Unique Key,Descriptor,Location Type,Incident Zip,Incident Address,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location,geometry,year,Info_Accuracy,Vacancy_Type,Current_Status,Repeated,Comment
18584268,Rat Sighting,Vacant Lot,10027,163 WEST 122 STREET,998496,233126,40.8065414,-73.94854,"(40.80654140809236, -73.94854024345432)",POINT (-73.94854024345432 40.80654140809236),2010,TRUE,VL,VACANT,FALSE,
25901668,Rat Sighting,Vacant Building,10027,62 WEST 124 STREET,999524,233149,40.8066028,-73.944827,"(40.80660281936858, -73.94482682483267)",POINT (-73.94482682483267 40.80660281936858),2013,FALSE,/,/,FALSE,
26511856,Rat Sighting,Vacant Building,10027,62 WEST  124 STREET,999524,233149,40.8066028,-73.944827,"(40.80660281936858, -73.94482682483267)",POINT (-73.94482682483267 40.80660281936858),2013,/,/,/,TRUE,
25671035,Rat Sighting,Vacant Building,10027,213 WEST 121 STREET,997842,233191,40.8067208,-73.950903,"(40.806720845439145, -73.95090250646038)",POINT (-73.95090250646037 40.80672084543914),2013,FALSE,/,/,FALSE,
25375676,Condition Attracting Rodents,Vacant Lot,10027,108 WEST 123 STREET,998904,233195,40.8067301,-73.947066,"(40.806730126731786, -73.94706630541704)",POINT (-73.94706630541705 40.80673012673178),2013,TRUE,VL,CONST,FALSE,
24654700,Rat Sighting,Vacant Building,10027,223 WEST 121 STREET,997790,233219,40.8067978,-73.95109,"(40.80679777754214, -73.95109028615103)",POINT (-73.95109028615103 40.80679777754214),2012,FALSE,/,/,FALSE,
23133046,Rat Sighting,Vacant Building,10027,79 WEST 124 STREET,999402,233223,40.8068061,-73.945267,"(40.80680613897262, -73.94526734955313)",POINT (-73.94526734955313 40.80680613897262),2012,FALSE,/,/,FALSE,
23186359,Rat Sighting,Vacant Building,10027,79 WEST  124 STREET,999402,233223,40.8068061,-73.945267,"(40.80680613897262, -73.94526734955313)",POINT (-73.94526734955313 40.80680613897262),2012,FALSE,/,/,FALSE,
25281056,Rat Sighting,Vacant Lot,10027,225 WEST 121 STREET,997780,233225,40.8068143,-73.951126,"(40.80681426120282, -73.95112639643952)",POINT (-73.95112639643952 40.80681426120282),2013,FALSE,/,/,FALSE,
25329731,Rat Sighting,Vacant Building,10027,227 WEST 121 STREET,997770,233231,40.8068307,-73.951163,"(40.806830744852086, -73.95116250674589)",POINT (-73.95116250674589 40.80683074485209),2013,FALSE,/,/,FALSE,
25750728,Rat Sighting,Vacant Building,10027,227 WEST  121 STREET,997770,233231,40.8068307,-73.951163,"(40.806830744852086, -73.95116250674589)",POINT (-73.95116250674589 40.80683074485209),2013,/,/,/,TRUE,
25163596,Rat Sighting,Vacant Building,10027,229 WEST 121 STREET,997759,233236,40.8068445,-73.951202,"(40.80684448529558, -73.95120223132321)",POINT (-73.95120223132321 40.80684448529558),2013,FALSE,/,/,FALSE,
23174814,Condition Attracting Rodents,Vacant Building,10027,85 WEST 124 STREET,999370,233241,40.8068556,-73.945383,"(40.80685559881501, -73.94538290064165)",POINT (-73.94538290064166 40.80685559881501),2012,FALSE,/,/,FALSE,
16866139,Condition Attracting Rodents,Vacant Lot,10027,124 WEST 123 STREET,998819,233241,40.8068565,-73.947373,"(40.80685652458326, -73.94737324550726)",POINT (-73.94737324550726 40.80685652458326),2010,FALSE,/,/,FALSE,
26069930,Condition Attracting Rodents,Vacant Building,10027,130 WEST 123 STREET,998788,233259,40.806906,-73.947485,"(40.80690598066903, -73.9474851860042)",POINT (-73.9474851860042 40.80690598066903),2013,TRUE,VB,VACANT,FALSE,
25109749,Rat Sighting,Vacant Building,10027,139 WEST 123 STREET,998748,233288,40.8069856,-73.94763,"(40.80698564337621, -73.94762961313093)",POINT (-73.94762961313094 40.80698564337622),2013,FALSE,/,/,FALSE,
25331142,Rat Sighting,Vacant Building,10027,WEST 121 STREET,997649,233293,40.8070011,-73.951599,"(40.807001102040154, -73.95159946402707)",POINT (-73.95159946402705 40.80700110204016),2013,/,/,/,TRUE,
33652879,Condition Attracting Rodents,Vacant Building,10027,255 WEST  121 STREET,997625,233310,40.8070478,-73.951686,"(40.80704779870351, -73.95168612413684)",POINT (-73.95168612413684 40.80704779870351),2016,/,/,/,TRUE,
28696911,Rat Sighting,Vacant Building,10027,56 WEST 125 STREET,999673,233388,40.8072585,-73.944288,"(40.8072585494072, -73.94428805388517)",POINT (-73.94428805388517 40.8072585494072),2014,TRUE,VB,CONST,FALSE,
20496875,Rat Sighting,Vacant Lot,10027,119 WEST 124 STREET,998981,233458,40.8074519,-73.946788,"(40.80745186092021, -73.94678758627079)",POINT (-73.9467875862708 40.80745186092021),2011,FALSE,/,/,FALSE,
20940548,Rat Sighting,Vacant Lot,10027,123 WEST  124 STREET,998960,233469,40.8074821,-73.946863,"(40.807482087863974, -73.94686341991061)",POINT (-73.94686341991061 40.80748208786397),2011,FALSE,/,/,FALSE,
41035041,Rat Sighting,Vacant Building,10027,46 WEST 126 STREET,999849,233522,40.807626,-73.943652,"(40.80762603331742, -73.94365198424642)",POINT (-73.94365198424643 40.80762603331743),2018,FALSE,/,/,FALSE,
28300631,Condition Attracting Rodents,Vacant Building,10027,56 WEST 126TH STREET,999788,233556,40.8077195,-73.943872,"(40.80771946138962, -73.94387225480561)",POINT (-73.94387225480561 40.80771946138962),2014,TRUE,VB,VACANT,FALSE,
34386382,Rat Sighting,Vacant Lot,10027,123 WEST 124TH STREET,998935,233561,40.8077346,-73.946954,"(40.807734643978044, -73.94695352553921)",POINT (-73.94695352553921 40.80773464397804),2016,FALSE,/,/,FALSE,
40163544,Rat Sighting,Vacant Lot,10027,2262 FREDERICK DOUGLASS BOULEVARD,997350,233576,40.8077783,-73.952679,"(40.807778307125986, -73.95267897428477)",POINT (-73.95267897428477 40.80777830712599),2018,TRUE,VL,VACANT,FALSE,
28776083,Condition Attracting Rodents,Vacant Building,10027,56 WEST  126 STREET,999895,233586,40.8078016,-73.943486,"(40.80780161425249, -73.9434856700831)",POINT (-73.94348567008309 40.80780161425249),2014,/,/,/,TRUE,
29061173,Mouse Sighting,Vacant Building,10027,56 WEST 126 STREET,999895,233586,40.8078016,-73.943486,"(40.80780161425249, -73.9434856700831)",POINT (-73.94348567008309 40.80780161425249),2014,/,/,/,TRUE,
28262903,Condition Attracting Rodents,Vacant Building,10027,54 WEST 126TH STREET,999837,233610,40.8078676,-73.943695,"(40.80786759011844, -73.94369512731632)",POINT (-73.94369512731632 40.80786759011843),2014,FALSE,/,/,FALSE,
20057983,Condition Attracting Rodents,Vacant Lot,10027,66 WEST 126 STREET,999832,233621,40.8078978,-73.943713,"(40.807897790890266, -73.9437131632637)",POINT (-73.94371316326371 40.80789779089027),2011,FALSE,/,/,FALSE,
21855122,Rat Sighting,Vacant Building,10027,68 WEST 126 STREET,999819,233628,40.807917,-73.94376,"(40.807917026868644, -73.94376010689815)",POINT (-73.94376010689815 40.80791702686864),2011,FALSE,/,/,FALSE,
27861536,Rat Sighting,Vacant Building,10027,494 MANHATTAN AVENUE,996796,233637,40.8079465,-73.95468,"(40.80794653930053, -73.95468006970782)",POINT (-73.95468006970782 40.80794653930053),2014,TRUE,VB,VACANT,FALSE,
42612986,Rat Sighting,Vacant Building,10027,2070 ADAM CLAYTON POWELL BOULEVARD,998347,233643,40.8079607,-73.949077,"(40.807960669032425, -73.94907737920948)",POINT (-73.94907737920948 40.80796066903242),2019,FALSE,/,/,FALSE,
18694474,Rat Sighting,Vacant Building,10027,217 WEST 123 STREET,998070,233662,40.8080133,-73.950078,"(40.808013256403044, -73.95007794752009)",POINT (-73.9500779475201 40.80801325640304),2010,TRUE,VB,CONST,FALSE,
18607357,Condition Attracting Rodents,Vacant Lot,10027,323 WEST 121 STREET,996933,233693,40.8081,-73.954185,"(40.808100048185025, -73.95418507873863)",POINT (-73.95418507873862 40.80810004818503),2010,FALSE,/,/,FALSE,
37440511,Rat Sighting,Vacant Lot,10027,228-234 SAINT NICHOLAS AVE,997298,233707,40.8081379,-73.952867,"(40.80813794279531, -73.95286655881428)",POINT (-73.95286655881428 40.80813794279531),2017,FALSE,/,/,FALSE,
20489475,Condition Attracting Rodents,Vacant Lot,10027,2272 FREDRICK DOUGLAS BOULEVARD,997365,233717,40.8081653,-73.952625,"(40.80816529082176, -73.9526245144505)",POINT (-73.95262451445051 40.80816529082175),2011,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
21772930,Rat Sighting,Vacant Building,10027,57 WEST 127 STREET,1000018,233822,40.8084492,-73.943041,"(40.80844915016986, -73.94304080379216)",POINT (-73.94304080379216 40.80844915016986),2011,FALSE,/,/,FALSE,
38461053,Rat Sighting,Vacant Building,10027,1191 AMSTERDAM AVENUE,995435,233837,40.8084973,-73.959596,"(40.80849731174161, -73.95959607760794)",POINT (-73.95959607760794 40.80849731174161),2018,FALSE,/,/,FALSE,
19084548,Condition Attracting Rodents,Vacant Lot,10027,65 WEST 127 STREET,999969,233849,40.8085233,-73.943218,"(40.808523344997006, -73.94321774461757)",POINT (-73.94321774461757 40.80852334499701),2010,FALSE,/,/,FALSE,
30197737,Rat Sighting,Vacant Lot,10027,65 WEST  127 STREET,999969,233849,40.8085233,-73.943218,"(40.808523344997006, -73.94321774461757)",POINT (-73.94321774461757 40.80852334499701),2015,/,/,/,TRUE,
38429909,Rat Sighting,Vacant Building,10027,1195 AMSTERDAM AVENUE,995384,233859,40.8085578,-73.95978,"(40.808557760064176, -73.95978026997496)",POINT (-73.95978026997496 40.80855776006418),2018,FALSE,/,/,FALSE,
40077268,Rat Sighting,Vacant Building,10027,435 WEST WEST  119 STREET,995554,233862,40.8085658,-73.959166,"(40.8085657783594, -73.95916616818162)",POINT (-73.95916616818162 40.8085657783594),2018,/,/,/,TRUE,
42101072,Rat Sighting,Vacant Building,10027,218 WEST  124 STREET,998181,233892,40.8086444,-73.949677,"(40.8086443683286, -73.9496765044727)",POINT (-73.94967650447271 40.8086443683286),2019,FALSE,/,/,FALSE,
30580485,Condition Attracting Rodents,Vacant Lot,10027,79 WEST  127 STREET,999882,233898,40.808658,-73.943532,"(40.80865799076518, -73.94353190335941)",POINT (-73.9435319033594 40.80865799076518),2015,FALSE,/,/,FALSE,
19885038,Condition Attracting Rodents,Vacant Building,10027,303 WEST 123 STREET,997455,234001,40.8089447,-73.952299,"(40.808944658034164, -73.9522988476877)",POINT (-73.9522988476877 40.80894465803416),2011,FALSE,/,/,FALSE,
25330815,Rat Sighting,Vacant Building,10027,139 WEST 126 STREET,999148,234006,40.8089557,-73.946183,"(40.80895568900706, -73.94618312044588)",POINT (-73.94618312044587 40.80895568900706),2013,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
